ClientId,Concerts,IntellectScore,ComfortScore,TransTime,WaitTime,Costs
78724,3,44.2,87.9,1.0,165.0,600
78792,3,57.6,28.6,18.0,180.0,600
78818,3,60.6,41.5,12.0,325.0,600
78879,3,37.6,93.3,1.0,105.0,600
78994,3,50.3,60.3,12.0,135.0,600
79036,3,53.4,66.5,7.0,255.0,600
79262,4,66.8,77.9,12.0,200.0,800
79616,3,44.2,84.0,2.0,175.0,600
79967,3,57.8,87.9,1.0,165.0,600
83065,5,51.9,81.9,15.0,195.0,1000
83424,4,53.5,70.8,0.0,415.0,800
83601,3,47.5,72.0,8.0,130.0,600
84790,3,56.6,66.3,3.0,335.0,600
87852,3,54.0,38.2,14.0,220.0,600
88508,3,40.6,34.0,19.0,90.0,600
88586,4,57.7,82.0,13.0,80.0,800
88646,4,37.4,30.3,23.0,255.0,800
89039,3,48.0,88.0,2.0,135.0,600
89174,3,46.7,90.4,2.0,105.0,600
89308,3,52.3,36.2,15.0,180.0,600
89404,3,54.3,23.7,14.0,410.0,600
89668,3,31.4,69.1,9.0,105.0,600
89684,3,28.5,36.0,16.0,160.0,600
90183,3,68.7,94.4,0.0,125.0,600
90515,4,64.7,75.9,12.0,215.0,800
90517,4,64.7,75.9,12.0,215.0,800
91173,3,43.6,64.1,3.0,385.0,600
91458,3,49.0,5.4,25.0,335.0,600
94173,4,61.3,14.7,26.0,315.0,800
94209,3,48.7,65.0,3.0,360.0,600
95432,4,33.1,88.9,9.0,90.0,800
95808,4,58.8,41.9,18.0,285.0,800
96624,5,40.4,85.9,5.0,240.0,1000
96762,3,54.5,88.0,3.0,115.0,600
96895,3,50.3,28.6,18.0,180.0,600
96897,4,52.3,53.4,13.0,415.0,800
96903,4,48.5,72.4,1.0,380.0,800
97006,3,48.7,65.0,3.0,360.0,600
97094,4,69.7,76.6,3.0,290.0,800
97126,3,33.3,67.2,10.0,105.0,600
97199,3,31.4,69.1,9.0,105.0,600
97204,3,49.9,87.6,3.0,120.0,600
97205,3,44.2,87.9,1.0,165.0,600
97233,3,49.9,87.6,3.0,120.0,600
97234,3,49.9,87.6,3.0,120.0,600
97238,3,49.9,87.6,3.0,120.0,600
97255,3,49.9,87.6,3.0,120.0,600
97292,3,68.7,94.4,0.0,125.0,600
97335,3,36.5,34.4,18.0,120.0,600
97428,3,44.8,25.4,25.0,135.0,600
97504,4,37.0,77.6,8.0,250.0,800
97750,3,50.3,88.9,0.0,180.0,600
98130,3,59.9,60.3,12.0,135.0,600
98310,3,38.6,90.5,0.0,165.0,600
98328,3,47.8,77.4,7.0,145.0,600
98347,3,36.7,61.5,12.0,120.0,600
98390,3,41.2,84.6,6.0,130.0,600
98400,3,43.1,43.2,13.0,250.0,600
98454,3,44.1,24.8,26.0,135.0,600
98460,3,42.0,68.3,8.0,165.0,600
98532,3,49.6,88.6,2.0,130.0,600
98686,3,53.0,63.2,7.0,285.0,600
98698,3,53.0,63.2,7.0,285.0,600
98879,3,56.5,18.3,16.0,335.0,600
98954,5,40.1,28.4,28.0,300.0,1000
99074,3,31.4,69.1,9.0,105.0,600
99075,3,31.4,69.1,9.0,105.0,600
99092,3,55.3,47.4,14.0,125.0,600
99104,4,70.8,78.4,2.0,285.0,800
99171,3,45.6,76.2,2.0,255.0,600
99205,4,67.8,77.6,2.0,290.0,800
99299,3,31.4,69.1,9.0,105.0,600
99371,3,43.9,89.4,1.0,150.0,600
99373,5,40.8,46.7,28.0,170.0,1000
99411,3,38.6,90.5,0.0,165.0,600
99629,3,43.7,43.5,14.0,165.0,600
99707,3,46.3,63.2,7.0,285.0,600
