Sostav,Days,Concerts,Halls,Genre,ShowTime,TransTime,WaitTime,Costs,Musician,Composer,programm,FamilyConc,TransTime_%,WaitTime_%,TransTime_Score,WaitTime_Score,Trans-Wait_%,Density,HallChanges,Top5Authors,Top5AuthorsShare,RareAuthorsShare,RecommendedArtistsRatio,RecommendedPiecesRatio,ComfortScore,ComfortLevel,RareAuthorsShare_qnorm,RecommendedPiecesRatio_qnorm,RecommendedArtistsRatio_qnorm,AvgWorksPerConcert,DepthScore,GenreDiversityScore,IntellectScore,IntellectCategory,IntellectScoreLabel,AuthorBalance,ComfortScoreLabel,AuthorBalanceLabel,Top5AuthorsShareLabel,RareAuthorsShareLabel,GMM_Cluster
[14],1,1,1,1,45.0,0.0,0.0,200,1,6,6,0,51.7,51.7,48.3,48.3,23.3,0.0,0,3,0.5,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,6.0,16.666666666666664,16.7,38.6,💤 Поверхностный,⚖️ Базовый (30–60%),0.25,Недостаточно данных,,,,0
[15],1,1,1,1,45.0,0.0,0.0,200,2,2,12,0,51.7,51.7,48.3,48.3,23.3,0.0,0,4,0.333,0.0,0.5,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.3306936172455594,12.0,8.333333333333332,16.7,25.1,💤 Поверхностный,💤 Поверхностный (0–30%),0.1665,Недостаточно данных,,,,0
[16],1,1,1,1,45.0,0.0,0.0,200,2,6,9,0,51.7,51.7,48.3,48.3,23.3,0.0,0,4,0.444,0.0,0.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.0004216518210088,9.0,11.11111111111111,16.7,24.1,💤 Поверхностный,💤 Поверхностный (0–30%),0.222,Недостаточно данных,,,,2
[17],1,1,1,1,50.0,0.0,0.0,200,2,1,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,1.0,0.0,0.5,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.3306936172455594,2.0,50.0,16.7,47.0,⚖️ Базовый,🎯 Интересный (60–90%),0.5,Недостаточно данных,,,,1
[18],1,1,1,1,50.0,0.0,0.0,200,3,1,3,0,51.7,51.7,48.3,48.3,23.3,0.0,0,3,1.0,0.0,0.667,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.768368207452696,3.0,33.33333333333333,16.7,50.4,⚖️ Базовый,🎯 Интересный (60–90%),0.5,Недостаточно данных,,,,1
[19],1,1,1,1,45.0,0.0,0.0,200,1,8,10,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,0.2,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,10.0,10.0,16.7,30.2,💤 Поверхностный,💤 Поверхностный (0–30%),0.1,Недостаточно данных,,,,0
[20],1,1,1,1,45.0,0.0,0.0,200,1,2,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,1,0.5,0.5,1.0,0.0,48.3,🔴 Неудобный,0.9998155273283088,0.5000131766194065,0.9886417540715754,2.0,50.0,16.7,60.3,🎯 Интересный,🧠 Насыщенный (Top 10%),0.5,Недостаточно данных,,,,3
[21],1,1,1,1,45.0,0.0,0.0,200,1,3,7,0,51.7,51.7,48.3,48.3,23.3,0.0,0,6,0.857,0.0,1.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.9886417540715754,7.0,14.285714285714285,16.7,47.2,⚖️ Базовый,🎯 Интересный (60–90%),0.4285,Недостаточно данных,,,,1
[22],1,1,1,1,55.0,0.0,0.0,200,3,1,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,2,1.0,0.0,0.333,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.0401096294734622,2.0,50.0,16.7,43.4,⚖️ Базовый,🎯 Интересный (60–90%),0.5,Недостаточно данных,,,,1
[23],1,1,1,1,45.0,0.0,0.0,200,2,2,2,0,51.7,51.7,48.3,48.3,23.3,0.0,0,1,0.5,0.0,0.0,0.0,48.3,🔴 Неудобный,0.2984372529383861,0.5000131766194065,0.0004216518210088,2.0,50.0,16.7,30.4,💤 Поверхностный,💤 Поверхностный (0–30%),0.25,Недостаточно данных,,,,0
